
Date,Name,Year,Letterboxd URI,Rating
2021-05-22,Enola Holmes,2020,https://boxd.it/hX2o,2
2021-05-22,Da 5 Bloods,2020,https://boxd.it/lnXw,4
2021-05-22,Always Be My Maybe,2019,https://boxd.it/iB2y,3
2021-05-22,Yesterday,2019,https://boxd.it/iF7M,2
2021-05-22,Captain Fantastic,2016,https://boxd.it/b2K2,3
2021-05-31,Do the Right Thing,1989,https://boxd.it/29gA,5
2021-06-02,Ghost World,2001,https://boxd.it/28Dy,4
2021-06-20,But I'm a Cheerleader,1999,https://boxd.it/1CW4,4
2021-06-20,Bride of Chucky,1998,https://boxd.it/1SJU,3.5
2021-06-21,Black Swan,2010,https://boxd.it/Sw0,5
2021-07-02,2 Hearts,2020,https://boxd.it/qzUO,0.5
2021-07-03,Million Dollar Baby,2004,https://boxd.it/2bdI,3
2021-07-06,50/50,2011,https://boxd.it/10Tw,3.5
2021-07-07,Seven Samurai,1954,https://boxd.it/2axi,5
2021-07-10,Cruella,2021,https://boxd.it/bbKg,2
2021-07-21,Apocalypse Now,1979,https://boxd.it/6ZS,5
2021-07-21,Amélie,2001,https://boxd.it/2aUc,5
2021-07-23,Jules and Jim,1962,https://boxd.it/28rM,4
2021-07-25,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,3.5
2021-07-29,Tenet,2020,https://boxd.it/leq4,2.5
2021-07-29,Judas and the Black Messiah,2021,https://boxd.it/lsew,4.5
2021-07-30,Eyes Without a Face,1960,https://boxd.it/1j9i,3
2021-07-30,Dead Poets Society,1989,https://boxd.it/2aSg,4
2021-07-30,The Pianist,2002,https://boxd.it/2aqc,4.5
2021-07-30,Inception,2010,https://boxd.it/1skk,4.5
2021-07-30,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2021-07-30,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,3
2021-07-31,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5
2021-07-31,Marie Antoinette,2006,https://boxd.it/27Wa,3.5
2021-08-03,A Woman Under the Influence,1974,https://boxd.it/1myg,5
2021-08-04,A Trip to the Moon,1902,https://boxd.it/29EC,3
2021-08-08,Bicycle Thieves,1948,https://boxd.it/23hW,4
2021-08-08,Me Without You,2001,https://boxd.it/1uaG,2.5
2021-08-09,To the Bone,2017,https://boxd.it/e5AK,2
2021-08-11,Shiva Baby,2020,https://boxd.it/oIv0,4
2021-08-11,Fight Club,1999,https://boxd.it/2a9q,4
2021-08-11,Garden State,2004,https://boxd.it/2asW,3.5
2021-08-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2021-08-11,Zodiac,2007,https://boxd.it/27MO,4
2021-08-11,Palo Alto,2013,https://boxd.it/5Nzy,3
2021-08-11,Neighbors,2014,https://boxd.it/5Txe,0.5
2021-08-11,Blended,2014,https://boxd.it/6QQY,0.5
2021-08-12,La Chinoise,1967,https://boxd.it/28rC,3
2021-08-12,The Shining,1980,https://boxd.it/29Nu,5
2021-08-12,Vivre Sa Vie,1962,https://boxd.it/28s6,4
2021-08-12,What Is Neorealism?,2013,https://boxd.it/68VA,4.5
2021-08-13,Psycho,1960,https://boxd.it/2ab2,4.5
2021-08-14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2021-08-14,One Night in Miami...,2020,https://boxd.it/oCUo,4.5
2021-08-14,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3
2021-08-15,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-08-15,The Truman Show,1998,https://boxd.it/18U8,4.5
2021-08-15,Sorry to Bother You,2018,https://boxd.it/f21E,4.5
2021-08-15,mid90s,2018,https://boxd.it/fxIa,4
2021-08-15,Mommy,2014,https://boxd.it/7Uau,4
2021-08-15,GoodFellas,1990,https://boxd.it/29FA,4
2021-08-15,20th Century Women,2016,https://boxd.it/bqU6,4
2021-08-15,The Place Beyond the Pines,2012,https://boxd.it/3mDu,4.5
2021-08-16,Vertigo,1958,https://boxd.it/2apI,3
2021-08-17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2021-08-17,The Suicide Squad,2021,https://boxd.it/fw6O,3
2021-08-21,Inside Llewyn Davis,2013,https://boxd.it/34Ro,2.5
2021-08-23,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a,4
2021-09-22,Circle,2015,https://boxd.it/b5So,2
2021-09-28,Jennifer's Body,2009,https://boxd.it/1Efw,3.5
2021-11-23,King Richard,2021,https://boxd.it/mJZ2,5
2021-11-27,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2021-11-27,The Invisible Man,2020,https://boxd.it/kWlA,4
2021-11-27,Arrival,2016,https://boxd.it/aNGk,4.5
2021-11-28,Captain Phillips,2013,https://boxd.it/3GPK,3.5
2021-12-18,Closer,2004,https://boxd.it/270K,3
2021-12-25,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2021-12-26,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2021-12-26,The Phone Call,2013,https://boxd.it/6yrw,3.5
2021-12-27,Snowpiercer,2013,https://boxd.it/3Icg,4
2021-12-27,21 Jump Street,2012,https://boxd.it/J0,3
2021-12-28,Another Round,2020,https://boxd.it/lkba,5
2021-12-29,Melancholia,2011,https://boxd.it/bPI,4.5
2021-12-29,Raw,2016,https://boxd.it/dLd2,4.5
2021-12-29,Carrie,1976,https://boxd.it/20ZQ,3
2021-12-31,Meshes of the Afternoon,1943,https://boxd.it/1sEE,2.5
2021-12-31,Skin,2018,https://boxd.it/kT0a,0.5
2021-12-31,The Neighbors' Window,2019,https://boxd.it/m92e,2
2022-01-01,The Matrix,1999,https://boxd.it/2a1m,5
2022-01-02,The Unforgivable,2021,https://boxd.it/nZ4e,3
2022-01-05,I Care a Lot,2020,https://boxd.it/mcHk,3
2022-01-07,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2022-01-07,The Amazing Spider-Man,2012,https://boxd.it/27PI,3.5
2022-01-08,The Matrix Reloaded,2003,https://boxd.it/2a1c,3.5
2022-01-09,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3
2022-01-10,Spencer,2021,https://boxd.it/qPMG,4.5
2022-01-10,Green Book,2018,https://boxd.it/hErk,2
2022-01-13,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3
2022-01-13,Awakenings,1990,https://boxd.it/1USu,3.5
2022-02-06,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3.5
2022-02-06,Scary Movie 5,2013,https://boxd.it/24AU,2
2022-02-06,Ma,2019,https://boxd.it/i8Wi,5
2022-03-13,American Psycho,2000,https://boxd.it/28Vs,4
2022-03-13,Minari,2020,https://boxd.it/mL9M,4
2022-03-13,12 Years a Slave,2013,https://boxd.it/2D2e,4
2022-04-02,Fresh,2022,https://boxd.it/tCNi,3.5
2022-04-02,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2022-04-05,The Dark Knight,2008,https://boxd.it/2b0k,4
2022-05-16,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2022-05-31,The Fifth Element,1997,https://boxd.it/71k,3.5
2022-06-02,Eyes Wide Shut,1999,https://boxd.it/2axs,5
2022-06-04,Victoria,2015,https://boxd.it/amSe,4
2022-06-05,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2022-06-06,Argo,2012,https://boxd.it/2czU,3
2022-06-11,Straight Up,2019,https://boxd.it/mhGQ,2.5
2022-06-25,Dallas Buyers Club,2013,https://boxd.it/4O8G,2
2022-07-06,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,5
2022-07-22,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-07-25,Set It Up,2018,https://boxd.it/dpik,2.5
